iter	Passed	Remaining
0	148	148446
1	149	74521
2	149	49837
3	150	37496
4	151	30084
5	151	25140
6	152	21610
7	152	18964
8	153	16900
9	153	15244
10	154	13889
11	154	12759
12	155	11803
13	155	10983
14	156	10272
15	156	9650
16	157	9101
17	157	8614
18	158	8176
19	158	7783
20	159	7428
21	159	7105
22	160	6810
23	160	6539
24	161	6290
25	161	6061
26	162	5848
27	162	5650
28	163	5465
29	163	5293
30	164	5132
31	164	4982
32	165	4840
33	165	4707
34	166	4582
35	166	4463
36	167	4352
37	167	4245
38	168	4144
39	168	4048
40	169	3956
41	169	3870
42	170	3787
43	170	3708
44	171	3632
45	171	3560
46	172	3490
47	172	3424
48	173	3360
49	173	3299
50	174	3240
51	174	3183
52	175	3129
53	175	3076
54	176	3025
55	176	2976
56	177	2929
57	177	2885
58	178	2843
59	178	2800
60	179	2759
61	179	2719
62	180	2681
63	180	2644
64	181	2608
65	181	2573
66	182	2538
67	182	2502
68	183	2469
69	183	2438
70	184	2407
71	184	2378
72	185	2349
73	185	2322
74	186	2295
75	186	2268
76	187	2242
77	187	2216
78	188	2192
79	188	2168
80	189	2144
81	189	2121
82	190	2099
83	190	2077
84	190	2054
85	191	2033
86	191	2012
87	192	1992
88	192	1973
89	193	1954
90	193	1935
91	194	1917
92	194	1899
93	195	1881
94	195	1864
95	196	1847
96	196	1831
97	197	1815
98	197	1799
99	198	1783
100	198	1768
101	198	1751
102	199	1736
103	199	1722
104	200	1708
105	200	1694
106	201	1680
107	201	1667
108	202	1653
109	202	1641
110	203	1628
111	203	1615
112	204	1603
113	204	1591
114	205	1579
115	205	1567
116	206	1555
117	206	1544
118	207	1532
119	207	1522
120	208	1511
121	208	1501
122	208	1489
123	209	1479
124	209	1469
125	210	1459
126	210	1450
127	211	1439
128	211	1430
129	212	1421
130	212	1412
131	213	1403
132	213	1394
133	214	1386
134	215	1377
135	215	1369
136	216	1361
137	216	1352
138	216	1344
139	217	1335
140	217	1327
141	218	1319
142	218	1312
143	219	1304
144	219	1296
145	220	1289
146	220	1281
147	221	1274
148	221	1267
149	222	1260
150	222	1253
151	223	1246
152	223	1239
153	224	1232
154	224	1225
155	225	1218
156	225	1212
157	226	1205
158	226	1199
159	227	1192
160	227	1186
161	228	1180
162	228	1174
163	229	1168
164	229	1162
165	230	1156
166	230	1150
167	231	1144
168	231	1139
169	232	1133
170	232	1127
171	233	1122
172	233	1117
173	234	1111
174	234	1106
175	235	1101
176	235	1095
177	236	1090
178	236	1085
179	237	1080
180	237	1074
181	237	1069
182	238	1064
183	238	1059
184	239	1054
185	239	1049
186	240	1044
187	240	1040
188	241	1035
189	241	1030
190	242	1026
191	242	1021
192	243	1017
193	243	1012
194	244	1008
195	244	1003
196	245	999
197	245	995
198	246	990
199	246	986
200	247	982
201	247	978
202	248	974
203	248	970
204	249	966
205	249	962
206	250	958
207	250	954
208	251	950
209	251	946
210	252	942
211	252	938
212	253	935
213	253	931
214	254	927
215	254	923
216	255	920
217	255	916
218	256	912
219	256	909
220	256	905
221	257	902
222	257	898
223	258	895
224	258	891
225	259	888
226	259	884
227	260	881
228	260	878
229	261	874
230	261	871
231	262	868
232	262	865
233	263	861
234	263	858
235	264	855
236	264	852
237	265	849
238	265	846
239	266	842
240	266	839
241	267	836
242	267	833
243	268	830
244	268	827
245	269	824
246	269	821
247	270	818
248	270	815
249	271	813
250	271	810
251	271	807
252	272	804
253	272	801
254	273	798
255	273	796
256	274	793
257	274	790
258	275	787
259	275	785
260	276	782
261	276	779
262	277	777
263	277	774
264	278	771
265	278	769
266	279	766
267	279	764
268	280	761
269	280	759
270	281	756
271	281	753
272	282	751
273	282	749
274	283	746
275	283	744
276	284	741
277	284	739
278	285	736
279	285	734
